S1_Temp,S2_Temp,S3_Temp,S1_Light,S2_Light,S3_Light,S1_Sound,S2_Sound,S3_Sound,S5_CO2,y_actual
24.94,24.75,24.56,121,34,53,0.08,0.19,0.06,390,1
24.94,24.75,24.56,121,33,53,0.93,0.05,0.06,390,1
25,24.75,24.5,121,34,53,0.43,0.11,0.08,390,1
25,24.75,24.56,121,34,53,0.41,0.1,0.1,390,1
25,24.75,24.56,121,34,54,0.18,0.06,0.06,390,1
25,24.81,24.56,121,34,54,0.13,0.06,0.06,390,1
25,24.75,24.56,120,34,54,1.39,0.32,0.43,390,1
25,24.81,24.56,121,34,54,0.09,0.06,0.09,390,1
25,24.81,24.56,122,35,56,0.09,0.05,0.06,390,1
25,24.81,24.56,101,34,57,3.84,0.64,0.48,390,1
25.06,24.81,24.56,122,35,57,2.2,0.31,0.33,390,1
25.06,24.81,24.56,123,35,57,0.42,0.13,0.14,390,1
25.06,24.88,24.63,123,35,57,0.21,0.15,0.07,390,1
25.06,24.81,24.63,123,35,57,1.66,0.21,0.12,390,1
25.06,24.88,24.63,123,35,58,0.57,0.17,0.21,390,1
25.06,24.88,24.63,123,35,58,0.14,0.17,0.15,390,1
25.06,24.88,24.63,122,35,58,0.24,0.05,0.1,395,1
25.06,24.81,24.63,122,35,57,0.25,0.07,0.07,395,1
25.06,24.81,24.63,123,35,58,0.23,0.07,0.08,395,1
25.06,24.88,24.63,123,35,58,0.13,0.06,0.06,395,1
25.13,24.88,24.63,123,35,58,0.13,0.04,0.06,390,1
25.06,24.88,24.63,123,35,57,0.15,0.05,0.06,395,1
25.13,24.88,24.63,123,35,58,0.11,0.05,0.06,395,1
25.13,24.88,24.63,123,35,58,1.31,0.12,0.08,400,1
25.13,24.88,24.63,124,35,59,0.11,0.12,0.06,400,1
25.13,24.88,24.69,123,35,58,1.57,0.08,0.07,400,1
25.13,24.88,24.69,123,35,59,0.21,0.19,0.17,405,1
25.13,24.88,24.69,123,35,58,0.44,0.13,0.17,410,1
25.13,24.88,24.69,123,35,58,0.46,0.14,0.16,410,1
25.13,24.88,24.69,123,35,58,0.98,0.25,0.19,405,1
25.19,24.88,24.69,123,35,58,0.15,0.13,0.23,405,1
25.19,24.88,24.69,123,35,58,0.08,0.08,0.07,400,1
25.19,24.88,24.69,123,35,58,0.09,0.05,0.07,410,1
25.19,24.88,24.69,123,35,58,0.37,0.16,0.18,410,1
25.19,24.88,24.69,122,35,59,0.08,0.06,0.06,405,1
25.19,24.88,24.69,122,35,58,0.93,0.05,0.06,410,1
25.19,24.88,24.69,123,35,57,0.07,0.24,0.06,410,1
25.19,24.94,24.69,123,35,58,0.07,0.05,0.05,415,1
25.19,24.88,24.69,123,35,58,0.08,0.05,0.05,420,1
25.19,24.94,24.69,123,35,57,0.08,0.05,0.06,425,1
25.19,24.94,24.75,123,35,57,1.27,0.06,0.11,425,1
25.19,24.94,24.69,123,35,59,0.08,0.26,0.21,420,1
25.19,24.94,24.75,123,36,59,0.1,0.08,0.09,420,1
25.19,24.94,24.69,123,35,59,0.46,0.16,0.21,420,1
25.19,24.88,24.69,123,35,59,0.42,0.19,0.16,420,1
25.19,24.94,24.75,124,35,60,0.17,0.05,0.06,425,1
25.19,24.94,24.75,124,36,61,1.44,0.12,0.15,430,1
25.25,24.94,24.75,124,36,61,0.76,0.27,0.24,430,1
25.25,24.94,24.75,124,36,61,0.16,0.06,0.05,435,1
25.25,24.94,24.75,124,36,60,0.09,0.05,0.06,425,1
25.25,24.94,24.75,123,35,59,0.28,0.05,0.07,425,1
25.25,24.94,24.75,123,35,59,0.07,0.07,0.05,420,1
25.25,24.94,24.75,124,36,60,0.28,0.12,0.11,420,1
25.25,24.94,24.75,123,35,60,0.24,0.11,0.14,420,1
25.25,24.94,24.75,123,35,60,0.93,0.14,0.12,430,1
25.25,24.94,24.75,123,35,60,0.1,0.09,0.1,435,1
25.25,24.94,24.81,123,35,59,0.68,0.12,0.11,430,1
25.25,24.94,24.75,123,35,60,0.94,0.12,0.13,445,1
25.25,24.94,24.75,123,35,59,0.12,0.05,0.06,440,1
25.25,25,24.81,123,35,59,0.29,0.08,0.1,440,1
25.25,24.94,24.81,124,36,61,0.83,0.05,0.06,435,1
25.25,25,24.81,124,36,62,1.1,0.1,0.09,430,1
25.25,25,24.81,124,36,61,0.83,0.1,0.11,435,1
25.25,25,24.81,123,36,60,0.48,0.15,0.18,440,1
25.31,25,24.81,123,35,60,0.65,0.08,0.11,445,1
25.31,25,24.81,123,35,60,0.4,0.06,0.08,445,1
25.31,25,24.81,124,36,60,0.49,0.06,0.07,445,1
25.31,25,24.81,124,35,60,0.13,0.1,0.09,445,1
25.31,25,24.81,124,36,60,0.35,0.05,0.05,440,1
25.31,25,24.81,124,36,63,0.17,0.1,0.14,440,1
25.31,25,24.81,124,37,64,1.85,0.19,0.15,445,1
25.31,25,24.81,124,37,65,0.28,0.08,0.08,445,1
25.31,25,24.81,123,37,64,0.36,0.09,0.09,450,1
